[2026-05-09 18:41:12.512] [Hash Trace] Tick: 1020
Tick                           | Val: 1020                 | AccumHash: 12637506602857779387
SharedDepthAxis.X              | Val: 0                    | AccumHash: 28217899404078529
SharedDepthAxis.Y              | Val: 0                    | AccumHash: 17583897982258003699
SharedDepthAxis.Z              | Val: 65635                | AccumHash: 15736122840670490288
CurrentTimerFrames             | Val: 4560                 | AccumHash: 2867324308045893664
IsTimerPaused                  | Val: 0                    | AccumHash: 9845550370626758240
CurrentPhase                   | Val: 1                    | AccumHash: 10980823378372458195
PhaseDelayTicks                | Val: 0                    | AccumHash: 2551751450328197257
SimulationScale                | Val: 65536                | AccumHash: 1435220649943933131
--- P1 ---
P1.Position.X                  | Val: 142328               | AccumHash: 917860206254786473
P1.Position.Y                  | Val: 0                    | AccumHash: 17113895882983375915
P1.Position.Z                  | Val: 0                    | AccumHash: 15011620199096554769
P1.Velocity.X                  | Val: 0                    | AccumHash: 4128683431247432675
P1.Velocity.Y                  | Val: 0                    | AccumHash: 16680483226471494329
P1.Velocity.Z                  | Val: 0                    | AccumHash: 815552972265058395
P1.DepthAxis.X                 | Val: 0                    | AccumHash: 11154502221371796129
P1.DepthAxis.Y                 | Val: 0                    | AccumHash: 3879293620672507795
P1.DepthAxis.Z                 | Val: 65635                | AccumHash: 1826892072941319376
P1.CurrentDirection.X          | Val: 67112                | AccumHash: 13445949199497288552
P1.CurrentDirection.Y          | Val: 0                    | AccumHash: 1071499814311940536
P1.CurrentDirection.Z          | Val: 0                    | AccumHash: 4200214428810173352
P1.LookDirection.X             | Val: 65635                | AccumHash: 13717702397643586033
P1.LookDirection.Y             | Val: 0                    | AccumHash: 10197538516922774659
P1.LookDirection.Z             | Val: 0                    | AccumHash: 330748200508177049
P1.IsGrounded                  | Val: 1                    | AccumHash: 3487737912571072584
P1.IsRootMotionActive          | Val: 0                    | AccumHash: 13040356785173408344
P1.CachedCurrentState          | Val: 128                  | AccumHash: 2319157352397884680
P1.StateFrameCounter           | Val: 5                    | AccumHash: 11073631516749589783
P1.CurrentActionID             | Val: 1342046326           | AccumHash: 13088789656598502355
P1.IsCommandActionTriggered    | Val: 1                    | AccumHash: 234725615908947414
P1.HurtInfo.Damage             | Val: 0                    | AccumHash: 8720643717609417378
P1.HurtInfo.StunFrames         | Val: 0                    | AccumHash: 9153279147593281862
P1.ScheduledWakeUpType         | Val: 0                    | AccumHash: 2489811683274930674
P1.IsFromRoll                  | Val: 0                    | AccumHash: 17208461371051243062
P1.SideStepDirection           | Val: 0                    | AccumHash: 6279823879326588354
P1.CurrentStunFrames           | Val: 0                    | AccumHash: 6711715455816093862
P1.IsGroundBouncing            | Val: 0                    | AccumHash: 12707493915998063122
P1.CurrentHealth               | Val: 100                  | AccumHash: 2998976672304940674
P1.HitstopCounter              | Val: 0                    | AccumHash: 2566031966210674406
--- P2 ---
P2.Position.X                  | Val: 175402               | AccumHash: 14779613160988447652
P2.Position.Y                  | Val: 0                    | AccumHash: 17128276706440765356
P2.Position.Z                  | Val: 0                    | AccumHash: 16753406038552154436
P2.Velocity.X                  | Val: 0                    | AccumHash: 15756153897932576396
P2.Velocity.Y                  | Val: 0                    | AccumHash: 3868186758714429412
P2.Velocity.Z                  | Val: 0                    | AccumHash: 4804635680926597228
P2.DepthAxis.X                 | Val: 0                    | AccumHash: 1787564731174008708
P2.DepthAxis.Y                 | Val: 0                    | AccumHash: 14696507443385718092
P2.DepthAxis.Z                 | Val: 65635                | AccumHash: 8305566395202027229
P2.CurrentDirection.X          | Val: 67123                | AccumHash: 5518075874586639466
